date_sk,date,day_name,is_weekend,holiday_flag,year,month,total_requests,unique_hosts,unique_human_hosts,unique_pages,active_countries,total_404,pct_404,avg_response_time_ms,p95_response_time_ms,total_bytes_sent,crawler_requests,pct_crawler,direct_traffic_requests,slow_requests,pct_slow_requests,peak_hour_requests,peak_traffic_hour,top_browser_share
20100424,2010-04-24,Saturday,Yes,No,2010,4,1015,37,36,484,19,107,10.54,629.0,1201.1,0,236,23.25,1015,8,0.79,98,3,1.48
20091123,2009-11-23,Monday,No,No,2009,11,1944,7,7,709,2,217,11.16,120.0,457.85,0,0,0.0,1944,0,0.0,604,14,
20110405,2011-04-05,Tuesday,No,No,2011,4,2300,54,46,1607,22,143,6.22,427.0,948.35,33787466,1437,62.48,1604,14,0.61,1036,9,3.91
20110510,2011-05-10,Tuesday,No,No,2011,5,2638,40,35,1406,17,352,13.34,512.0,1407.2,31757745,741,28.09,1093,52,1.97,668,9,4.59
20100422,2010-04-22,Thursday,No,No,2010,4,1953,40,37,1393,21,131,6.71,492.0,1467.6,0,1089,55.76,1953,10,0.51,414,16,1.43
20100315,2010-03-15,Monday,No,No,2010,3,3398,38,32,1602,18,228,6.71,286.0,849.0,0,289,8.51,3398,14,0.41,1244,10,2.83
20100419,2010-04-19,Monday,No,No,2010,4,1860,47,44,961,22,163,8.76,457.0,971.15,0,158,8.49,1860,5,0.27,256,4,1.29
20100302,2010-03-02,Tuesday,No,No,2010,3,2894,42,36,1287,21,476,16.45,303.0,853.0,0,219,7.57,2894,11,0.38,818,12,2.87
20100906,2010-09-06,Monday,No,No,2010,9,829,27,21,514,13,70,8.44,447.0,1006.6,8655726,453,54.64,607,7,0.84,59,10,4.46
20101215,2010-12-15,Wednesday,No,No,2010,12,1472,131,40,522,26,145,9.85,783.0,1826.8,32625478,770,52.31,919,13,0.88,167,17,0.07
