page_sk,page_path,page_category,total_requests,unique_hosts,total_404,pct_404,total_bytes_sent,avg_response_time_ms,p95_response_time_ms,max_response_time_ms,slow_requests,pct_slow_requests,active_days
169,/community/xmlrpc.php,Other,1,1,1,100.00,1368,18.00,18.00,18,0,0.00,1
170,/config/config.inc.php,Other,1,1,1,100.00,0,144.00,144.00,144,0,0.00,1
171,/cube/README,Other,2,2,2,100.00,1424,152.50,162.85,164,0,0.00,2
172,/darwin/,Other,1,1,0,0.00,46065,21765.00,21765.00,21765,1,100.00,1
173,/Darwin/,Other,27,16,0,0.00,368209,1037.26,3678.40,4838,0,0.00,17
174,/Darwin/,Other,2,1,0,0.00,0,203.50,212.05,213,0,0.00,1
175,/Darwin/,Other,2,1,0,0.00,0,243.50,281.75,286,0,0.00,1
176,/Darwin/,Other,2,1,0,0.00,0,232.00,265.30,269,0,0.00,1
177,/Darwin/,Other,2,1,0,0.00,0,195.00,195.00,195,0,0.00,1
178,/Darwin/,Other,2,1,0,0.00,0,215.00,232.10,234,0,0.00,1
179,/Darwin/,Other,2,1,0,0.00,0,203.00,203.90,204,0,0.00,1
180,/Darwin/,Other,2,1,0,0.00,0,217.00,236.80,239,0,0.00,1
181,/Darwin/,Other,2,1,0,0.00,0,203.50,210.25,211,0,0.00,1
182,/Darwin/,Other,2,1,0,0.00,0,382.00,547.60,566,0,0.00,1
183,/Darwin/,Other,2,1,0,0.00,0,197.50,201.55,202,0,0.00,1
184,"/Darwin/,-12.11467,96.89951],[",Other,1,1,1,100.00,0,181.00,181.00,181,0,0.00,1
185,"/Darwin/,-50.0167,-68.5167],[",Other,1,1,1,100.00,0,181.00,181.00,181,0,0.00,1
186,"/Darwin/,-51.52855,-58.12831],[",Other,1,1,1,100.00,0,299.00,299.00,299,0,0.00,1
187,/darwin/about.aspx,Dynamic Page,2,1,0,0.00,0,772.50,802.65,806,0,0.00,1
188,/Darwin/About.aspx,Dynamic Page,240,159,0,0.00,854696,337.09,742.25,999,0,0.00,84
189,/Darwin/About.aspx,Dynamic Page,1,1,0,0.00,0,102.00,102.00,102,0,0.00,1
190,/Darwin/About.aspx,Dynamic Page,2,1,0,0.00,0,414.00,631.80,656,0,0.00,1
191,/Darwin/About.aspx,Dynamic Page,16,13,0,0.00,62421,521.25,964.00,1732,0,0.00,14
192,/darwin/about+darwin,Other,1,1,1,100.00,0,329.00,329.00,329,0,0.00,1
193,/darwin/about+henslow,Other,1,1,1,100.00,0,404.00,404.00,404,0,0.00,1
194,/darwin/about+the+herbarium,Other,1,1,1,100.00,0,335.00,335.00,335,0,0.00,1
195,/darwin/about+the+voyage,Other,1,1,1,100.00,0,318.00,318.00,318,0,0.00,1
196,/darwin/about+this+project,Other,1,1,1,100.00,0,322.00,322.00,322,0,0.00,1
197,/darwin/abrolhos,Other,1,1,1,100.00,0,332.00,332.00,332,0,0.00,1
198,/darwin/archipiélago+de+colón,Other,1,1,1,100.00,0,338.00,338.00,338,0,0.00,1
199,/darwin/archipiélago+de+los+chonos,Other,1,1,1,100.00,0,358.00,358.00,358,0,0.00,1
200,/darwin/a+walk+in+henslow's+garden,Other,1,1,1,100.00,0,319.00,319.00,319,0,0.00,1
201,/darwin/«+back,Other,1,1,1,100.00,0,318.00,318.00,318,0,0.00,1
202,/darwin/bahia+blanca,Other,1,1,1,100.00,0,318.00,318.00,318,0,0.00,1
203,/darwin/biodiversity+library,Other,1,1,1,100.00,0,318.00,318.00,318,0,0.00,1
204,/Darwin/buttongradient.gif,Image,1953,1529,0,0.00,268515,323.37,663.80,17463,5,0.26,91
205,/darwin/cabo+tres+montes,Other,1,1,1,100.00,0,319.00,319.00,319,0,0.00,1
206,/darwin/cambridge+university+dept.+of+plant+sciences,Other,1,1,1,100.00,0,319.00,319.00,319,0,0.00,1
207,/darwin/CGE00271_75px.jpg,Image,2,2,0,0.00,6932,155.50,239.65,249,0,0.00,2
208,/Darwin/CGE00271_75px.jpg,Image,2034,1587,0,0.00,2671364,332.45,895.45,19730,7,0.34,91
209,/darwin/CGE00271_ImageMap.jpg,Image,1,1,0,0.00,271684,546.00,546.00,546,0,0.00,1
210,/Darwin/CGE00271_ImageMap.jpg,Image,169,147,0,0.00,18398154,7456.88,27040.20,260528,42,24.85,73
211,/darwin/chiloé,Other,1,1,1,100.00,0,363.00,363.00,363,0,0.00,1
212,/darwin/culogo.gif,Image,2,2,0,0.00,7136,54.00,61.20,62,0,0.00,2
213,/Darwin/culogo.gif,Image,2047,1603,0,0.00,2799470,305.15,818.50,12537,7,0.34,92
214,/darwin/darwin+correspondence+online,Other,1,1,1,100.00,0,349.00,349.00,349,0,0.00,1
215,/darwin/darwin/home.aspx,Dynamic Page,18,5,18,100.00,15048,933.78,1874.95,2549,0,0.00,6
216,/darwin/darwin+manuscripts+project,Other,1,1,1,100.00,0,444.00,444.00,444,0,0.00,1
217,/darwin/darwin's+plants,Other,1,1,1,100.00,0,390.00,390.00,390,0,0.00,1
218,/darwin/department+of+plant+sciences,Other,1,1,1,100.00,0,318.00,318.00,318,0,0.00,1
219,/Darwin/+++document.Form1.location.value+++,Other,2,2,2,100.00,2810,20.00,20.00,20,0,0.00,2
220,/darwin/falkland+islands,Other,1,1,1,100.00,0,318.00,318.00,318,0,0.00,1
221,/Darwin/favicon.ico,Icon,23,3,23,100.00,0,60.35,184.90,186,0,0.00,5
222,/Darwin/header.jpg,Image,2042,1587,0,0.00,15357671,784.51,2154.15,109842,34,1.67,92
223,/darwin/herbarium.aspx,Dynamic Page,6,4,0,0.00,47399,14441.50,40762.25,42972,3,50.00,3
224,/Darwin/Herbarium.aspx,Dynamic Page,253,174,0,0.00,1174070,942.21,1324.00,67457,3,1.19,84
225,/Darwin/Herbarium.aspx,Dynamic Page,1,1,0,0.00,0,117.00,117.00,117,0,0.00,1
226,/Darwin/Herbarium.aspx,Dynamic Page,3,1,0,0.00,0,108.67,119.00,119,0,0.00,1
227,/Darwin/Herbarium.aspx,Dynamic Page,4,1,0,0.00,0,108.75,118.55,119,0,0.00,1
228,/Darwin/Herbarium.aspx,Dynamic Page,4,1,0,0.00,0,282.25,434.95,448,0,0.00,2
229,/Darwin/Herbarium.aspx,Dynamic Page,22,13,0,0.00,82641,416.23,998.60,1091,0,0.00,15
230,/Darwin/Herbarium.aspx,Dynamic Page,8,1,0,0.00,0,186.38,417.70,550,0,0.00,1
231,/Darwin/Herbarium.aspx,Dynamic Page,1,1,0,0.00,0,245.00,245.00,245,0,0.00,1
232,/darwin/herbariumsheet.aspx,Dynamic Page,2,1,0,0.00,0,1093.50,1159.65,1167,0,0.00,1
233,/darwin/HerbariumSheet.aspx,Dynamic Page,10,8,0,0.00,77747,13080.10,56579.40,57825,3,30.00,7
234,/Darwin/HerbariumSheet.aspx,Dynamic Page,341,261,0,0.00,1554619,516.47,1140.00,5019,1,0.29,88
235,/darwin/home,Other,1,1,1,100.00,0,334.00,334.00,334,0,0.00,1
236,/darwin/home.aspx,Dynamic Page,50,24,0,0.00,2086534,758.64,1274.25,1856,0,0.00,29
237,/darwin/home.aspx,Dynamic Page,1,1,0,0.00,0,2051.00,2051.00,2051,0,0.00,1
238,/darwin/Home.aspx,Dynamic Page,2,1,0,0.00,95076,12383.00,22610.60,23747,1,50.00,1
239,/Darwin/home.aspx,Dynamic Page,1,1,0,0.00,46089,277.00,277.00,277,0,0.00,1
240,/Darwin/Home.aspx,Dynamic Page,2853,878,3,0.11,75322187,1679.08,2984.80,210271,66,2.31,93
241,/Darwin/Home.aspx,Dynamic Page,29,28,0,0.00,1336436,1801.97,5204.40,8381,2,6.90,1
242,/Darwin/Home.aspx,Dynamic Page,51,41,0,0.00,2304400,1911.14,3023.00,21853,1,1.96,1
243,/Darwin/Home.aspx,Dynamic Page,1,1,0,0.00,0,119.00,119.00,119,0,0.00,1
244,/Darwin/Home.aspx,Dynamic Page,2,1,0,0.00,0,266.00,304.70,309,0,0.00,1
245,/Darwin/Home.aspx,Dynamic Page,81,44,0,0.00,1431853,687.07,1141.00,2214,0,0.00,56
246,/Darwin/Home.aspx,Dynamic Page,8,1,0,0.00,0,268.25,555.80,658,0,0.00,1
247,/Darwin/Home.aspx,Dynamic Page,9,8,0,0.00,232671,870.56,2282.60,2411,0,0.00,9
248,/Darwin/Home.aspx,Dynamic Page,1,1,0,0.00,0,619.00,619.00,619,0,0.00,1
249,/Darwin/Home.aspx,Dynamic Page,4,4,0,0.00,140259,467.75,852.95,905,0,0.00,4
250,/Darwin/Home.aspx,Dynamic Page,1,1,0,0.00,47717,180.00,180.00,180,0,0.00,1
251,/Darwin/Home.aspx,Dynamic Page,2,2,0,0.00,47717,390.00,591.60,614,0,0.00,2
252,/Darwin/Home.aspx,Dynamic Page,1,1,0,0.00,47717,178.00,178.00,178,0,0.00,1
253,/Darwin/Home.aspx,Dynamic Page,2,2,0,0.00,95434,259.00,334.60,343,0,0.00,2
254,/Darwin/Home.aspx,Dynamic Page,2,2,0,0.00,47717,590.00,612.50,615,0,0.00,2
255,/Darwin/Home.aspx,Dynamic Page,1,1,0,0.00,47717,178.00,178.00,178,0,0.00,1
256,/Darwin/Home.aspx,Dynamic Page,4,4,0,0.00,140259,393.25,602.00,611,0,0.00,4
257,/Darwin/Home.aspx,Dynamic Page,8,8,0,0.00,235693,389.50,606.60,615,0,0.00,7
258,/Darwin/Home.aspx,Dynamic Page,1,1,0,0.00,46138,204.00,204.00,204,0,0.00,1
259,/Darwin/Home.aspx,Dynamic Page,1,1,0,0.00,0,336.00,336.00,336,0,0.00,1
