time_sk,hour,minute,am_pm,time_band,shift_id
426,4,26,AM,Early Morning,1
427,4,27,AM,Early Morning,1
428,4,28,AM,Early Morning,1
429,4,29,AM,Early Morning,1
430,4,30,AM,Early Morning,1
431,4,31,AM,Early Morning,1
432,4,32,AM,Early Morning,1
433,4,33,AM,Early Morning,1
434,4,34,AM,Early Morning,1
435,4,35,AM,Early Morning,1
436,4,36,AM,Early Morning,1
437,4,37,AM,Early Morning,1
438,4,38,AM,Early Morning,1
439,4,39,AM,Early Morning,1
440,4,40,AM,Early Morning,1
441,4,41,AM,Early Morning,1
442,4,42,AM,Early Morning,1
443,4,43,AM,Early Morning,1
444,4,44,AM,Early Morning,1
445,4,45,AM,Early Morning,1
446,4,46,AM,Early Morning,1
447,4,47,AM,Early Morning,1
448,4,48,AM,Early Morning,1
449,4,49,AM,Early Morning,1
450,4,50,AM,Early Morning,1
451,4,51,AM,Early Morning,1
452,4,52,AM,Early Morning,1
453,4,53,AM,Early Morning,1
454,4,54,AM,Early Morning,1
455,4,55,AM,Early Morning,1
456,4,56,AM,Early Morning,1
457,4,57,AM,Early Morning,1
458,4,58,AM,Early Morning,1
459,4,59,AM,Early Morning,1
500,5,0,AM,Early Morning,1
501,5,1,AM,Early Morning,1
502,5,2,AM,Early Morning,1
503,5,3,AM,Early Morning,1
504,5,4,AM,Early Morning,1
505,5,5,AM,Early Morning,1
506,5,6,AM,Early Morning,1
507,5,7,AM,Early Morning,1
508,5,8,AM,Early Morning,1
509,5,9,AM,Early Morning,1
510,5,10,AM,Early Morning,1
511,5,11,AM,Early Morning,1
512,5,12,AM,Early Morning,1
513,5,13,AM,Early Morning,1
514,5,14,AM,Early Morning,1
515,5,15,AM,Early Morning,1
516,5,16,AM,Early Morning,1
517,5,17,AM,Early Morning,1
518,5,18,AM,Early Morning,1
519,5,19,AM,Early Morning,1
520,5,20,AM,Early Morning,1
521,5,21,AM,Early Morning,1
522,5,22,AM,Early Morning,1
523,5,23,AM,Early Morning,1
524,5,24,AM,Early Morning,1
525,5,25,AM,Early Morning,1
526,5,26,AM,Early Morning,1
527,5,27,AM,Early Morning,1
528,5,28,AM,Early Morning,1
529,5,29,AM,Early Morning,1
530,5,30,AM,Early Morning,1
531,5,31,AM,Early Morning,1
532,5,32,AM,Early Morning,1
533,5,33,AM,Early Morning,1
534,5,34,AM,Early Morning,1
535,5,35,AM,Early Morning,1
536,5,36,AM,Early Morning,1
537,5,37,AM,Early Morning,1
538,5,38,AM,Early Morning,1
539,5,39,AM,Early Morning,1
540,5,40,AM,Early Morning,1
541,5,41,AM,Early Morning,1
542,5,42,AM,Early Morning,1
543,5,43,AM,Early Morning,1
544,5,44,AM,Early Morning,1
545,5,45,AM,Early Morning,1
546,5,46,AM,Early Morning,1
547,5,47,AM,Early Morning,1
548,5,48,AM,Early Morning,1
549,5,49,AM,Early Morning,1
550,5,50,AM,Early Morning,1
551,5,51,AM,Early Morning,1
552,5,52,AM,Early Morning,1
553,5,53,AM,Early Morning,1
554,5,54,AM,Early Morning,1
555,5,55,AM,Early Morning,1
556,5,56,AM,Early Morning,1
